"Tiempo (s) Serie Nº 1","Posición (m) Serie Nº 1"
0.020,0.222
0.040,0.222
0.060,0.222
0.080,0.222
0.100,0.222
0.120,0.222
0.140,0.222
0.160,0.222
0.180,0.222
0.200,0.222
0.220,0.222
0.240,0.222
0.260,0.222
0.280,0.222
0.300,0.222
0.320,0.222
0.340,0.222
0.360,0.222
0.380,0.221
0.400,0.222
0.420,0.223
0.440,0.224
0.460,0.226
0.480,0.229
0.500,0.233
0.520,0.237
0.540,0.242
0.560,0.248
0.580,0.254
0.600,0.261
0.620,0.269
0.640,0.277
0.660,0.286
0.680,0.296
0.700,0.306
0.720,0.317
0.740,0.328
0.760,0.340
0.780,0.353
0.800,0.366
0.820,0.381
0.840,0.393
0.860,0.409
0.880,0.427
0.900,0.444
0.920,0.459
0.940,0.480
0.960,0.498
0.980,0.518
1.000,0.536
1.020,0.559
1.040,0.580
1.060,0.602
1.080,0.624
1.100,0.648
1.120,0.671
1.140,0.696
1.160,0.721
1.180,0.747
1.200,0.773
1.220,0.800
1.240,0.828
1.260,0.847
1.280,0.858
1.300,0.868
1.320,0.880
1.340,0.892
1.360,0.904
1.380,0.914
1.400,0.929
1.420,0.942
1.440,0.953
1.460,0.962
1.480,0.969
1.500,0.974
1.520,0.978
1.540,0.980
1.560,0.982
1.580,0.983
1.600,0.983
1.620,0.982
1.640,0.981
1.660,0.980
1.680,0.979
1.700,0.978
1.720,0.977
1.740,0.975
1.760,0.975
1.780,0.972
1.800,0.973
1.820,0.972
1.840,0.972
1.860,0.972
1.880,0.971
1.900,0.969
1.920,0.969
1.940,0.969
1.960,0.969
1.980,0.969
2.000,0.969
